EntrezID	p.value	HPV+/HPV-
6781	2.51E-05	-145.13
NA	5.36E-05	-86.14
23089	5.90E-05	-45.91
2628	6.90E-05	7.10
6383	9.51E-05	-9.43
148170	0.000106439	34.29
6783	0.000127863	3.43
28986	0.00013048	-30.16
8416	0.000142227	11.56
6383	0.000143741	-15.16
5563	0.000150325	-2.60
6781	0.000171931	-58.58
92745	0.000173281	45.84
147947	0.000205357	-4.10
118932	0.000230698	19.44
5563	0.000232642	-4.53
4060	0.000256237	-62.22
5446	0.000263727	10.14
3552	0.000266407	27.44
126549	0.000271533	4.71
NA	0.00030258	4.11
57415	0.000317781	-50.71
2628	0.0003761	9.14
7056	0.000402199	7.70
163351	0.000418331	6.76
NA	0.000485075	-3.94
NA	0.000486709	6.47
NA	0.000491262	-4.14
5588	0.000552726	13.76
27063	0.000565354	8.96
57512	0.000594438	-13.04
84842	0.000600356	14.76
1837	0.00074267	-17.34
8416	0.000783349	4.00
5099	0.000787774	2.13
4232	0.000860522	33.78
7054	0.00087525	15.18
3730	0.000894965	24.22
4013	0.000924002	-12.56
10388	0.000952616	8.31
149175	0.000952854	14.09
139818	0.000961619	-24.56
7980	0.001080448	53.78
643224	0.001086031	7.48
56133	0.001096602	-12.96
7056	0.001101358	7.45
NA	0.001113671	3.32
3918	0.001173052	20.29
1780	0.001205361	-2.57
NA	0.001221025	-3.21
154810	0.00122614	6.61
1029	0.001229044	48.51
415117	0.001229254	1.95
100129195	0.001263701	-2.96
100101467	0.001309828	2.31
440894	0.001341379	6.39
256979	0.001419024	9.21
25825	0.001428162	8.03
3294	0.001455222	2.52
122402	0.001496677	85.52
286527	0.00154548	-6.09
4862	0.001556203	-2.44
NA	0.001585702	21.39
55313	0.001589081	-2.47
54809	0.001614716	4.93
144501	0.001678976	6.70
NA	0.001712766	-4.08
266812	0.001713097	11.21
27165	0.00175433	3.50
114757	0.001763955	3.77
1029	0.00177079	41.58
53405	0.00178339	4.42
146857	0.001933967	7.14
283554	0.001937152	2.81
397	0.001955947	7.98
6781	0.001960517	-6.92
NA	0.001965307	23.00
79587	0.001980143	1.51
NA	0.00200082	6.88
10331	0.002029573	6.52
55971	0.002060619	4.33
143872	0.002084941	4.80
7056	0.002137043	7.07
NA	0.002149069	-1.84
NA	0.002149879	-1.97
NA	0.002162626	-2.94
2052	0.002208699	-5.62
4589	0.002215862	3.63
650655	0.002226923	4.58
84924	0.002273647	1.74
4950	0.002288919	3.62
54922	0.002302454	24.82
25825	0.002331394	7.80
8366	0.002364889	-5.10
374378	0.002384338	7.53
3084	0.002414689	5.88
54626	0.002416631	2.16
9957	0.00248009	66.71
1902	0.00249135	8.23
6019	0.002629208	3.31
5584	0.002676083	2.84
NA	0.002727064	-3.95
51442	0.002729747	47.93
80212	0.002735226	-5.11
84072	0.002754959	35.17
NA	0.002780106	6.13
4507	0.002813109	11.49
5275	0.002825233	4.46
3713	0.002843768	6.59
NA	0.002895976	-2.19
2556	0.002900325	-1.99
NA	0.00295365	2.29
57458	0.002956546	4.18
1646	0.002960034	-20.00
5881	0.00296139	4.58
80144	0.002976706	14.23
64417	0.003034623	3.46
1837	0.003044967	-1.94
146771	0.003068615	17.76
1290	0.00307992	-48.07
54809	0.003090819	4.53
NA	0.003109313	3.01
NA	0.003156914	-1.64
1030	0.003187136	11.04
400713	0.003225815	-2.19
91663	0.003293096	-7.30
NA	0.003331671	-2.56
57530	0.003333621	4.73
284217	0.003335463	-1.95
163081	0.003366142	3.61
8996	0.003389515	-3.14
1031	0.003412556	-4.58
375196	0.003443667	13.60
56033	0.0034571	-1.89
439949	0.003489986	6.37
NA	0.003537041	1.36
154810	0.003545879	5.41
397	0.003583112	8.28
55971	0.003595836	4.13
9424	0.003601923	3.65
29968	0.003613414	4.45
5577	0.003630263	-6.03
NA	0.003634904	2.72
9480	0.003643419	1.66
653857	0.003666741	6.80
1212	0.003697672	3.46
1153	0.003705554	-2.91
132989	0.003783473	1.87
6641	0.003787532	-2.31
NA	0.00383653	-2.44
163351	0.0038425	14.64
26298	0.00385956	2.14
140462	0.003898188	2.83
79413	0.003917993	37.72
10556	0.00392501	-2.20
1212	0.003926118	3.09
6744	0.003985089	2.15
8829	0.003999717	-6.38
8644	0.004054418	-12.72
8022	0.004081088	2.05
23029	0.004152314	1.53
113178	0.004162028	-2.05
27165	0.004209436	3.76
NA	0.004315674	2.61
1837	0.00432607	-15.90
4804	0.004395345	3.50
25858	0.004403497	2.54
1902	0.004407813	6.54
NA	0.004419097	-1.49
25850	0.004419807	1.78
255928	0.004447043	4.64
7980	0.004458023	9.70
124923	0.004484369	1.72
22858	0.00452582	1.38
590	0.004557121	-1.58
7093	0.004563046	5.98
57530	0.004571791	3.19
7294	0.004588236	4.01
NA	0.004601964	-10.99
91663	0.004617744	-7.93
118932	0.004712056	3.75
11063	0.00474404	1.63
221393	0.004757884	2.04
6375	0.004759328	-5.84
1466	0.004764556	3.96
230	0.0047881	-4.27
266977	0.004831134	3.18
9976	0.004894535	-9.72
80271	0.004928303	2.65
1474	0.004929745	27.15
163081	0.004935005	3.04
632	0.004943198	-2.79
374383	0.004954399	2.77
266812	0.005003268	10.05
9955	0.005004062	-21.91
NA	0.005055951	1.52
286058	0.00509934	-1.42
8148	0.00513677	1.87
200958	0.005168351	3.16
100289373	0.005213231	1.48
26298	0.005442003	2.79
NA	0.005465851	3.92
6783	0.005466012	2.03
221002	0.005489753	-23.38
440995	0.005528498	4.01
79961	0.005542489	4.19
57211	0.00555732	4.75
NA	0.005566047	-1.77
8821	0.00558893	1.88
644150	0.005591154	3.25
51676	0.005595716	3.91
NA	0.005609673	-4.46
3204	0.005687257	5.61
1837	0.005731204	-2.07
6690	0.005749913	-1.64
NA	0.005751325	4.00
3084	0.005752935	3.02
3122	0.005773632	-5.94
NA	0.005780441	-11.93
23089	0.005781463	-3.42
1734	0.005794884	-2.09
9118	0.005820655	24.45
64901	0.005827002	2.57
7544	0.005832937	1.54
79814	0.005882226	7.56
10406	0.005951587	9.67
320	0.005955515	-1.70
116984	0.005957719	5.69
80025	0.005990449	2.29
23321	0.005999675	-4.08
1212	0.00603246	3.15
2517	0.006043471	-4.72
9749	0.006058337	3.32
147947	0.006110988	-2.85
154091	0.006117049	6.54
8905	0.0061197	4.15
154	0.006150367	7.47
159195	0.006157233	-1.91
114908	0.006158791	4.57
57579	0.006198956	1.57
153642	0.006201384	2.77
283383	0.006220988	-1.79
1031	0.006225986	-3.72
4507	0.006282836	13.13
169522	0.006291682	-1.33
1056	0.006329609	7.63
22807	0.00635044	4.06
7349	0.006355827	-1.80
NA	0.00639952	-2.07
NA	0.006424071	-2.95
NA	0.006435205	-1.53
1290	0.0064488	-47.84
10413	0.006451526	4.42
57711	0.006553345	2.65
158947	0.006569587	2.26
11077	0.00665703	4.58
1646	0.006676113	-18.31
329	0.006700285	3.03
26298	0.006725547	6.59
5588	0.006728485	3.96
79644	0.006733372	-1.67
53346	0.006890784	1.41
NA	0.006943569	-1.32
83857	0.006971675	-13.12
NA	0.006972411	-2.67
65999	0.006995531	7.02
1016	0.007047137	-3.79
646268	0.007049786	2.05
26298	0.007096511	7.06
60680	0.00710478	-1.43
3122	0.007136136	-9.99
26468	0.007147453	5.31
347744	0.007164192	-1.68
284161	0.007195616	4.01
23022	0.007245148	1.39
NA	0.007307411	2.64
NA	0.007336492	1.64
26013	0.007446522	2.21
57458	0.007451159	6.74
5055	0.007501436	56.09
NA	0.007511601	-3.32
23108	0.007513256	4.99
NA	0.007522032	-1.87
10371	0.007557905	2.98
79956	0.007563243	4.18
1645	0.007608685	-14.42
55664	0.007643984	2.92
1645	0.00766793	-16.49
55790	0.007676625	-2.09
346689	0.007684735	5.46
NA	0.007704389	-1.29
NA	0.007737522	1.35
NA	0.007769869	1.68
2799	0.007878877	-2.90
54502	0.007923004	3.22
84545	0.00793926	-3.17
NA	0.007943245	2.01
NA	0.007944129	-2.30
56477	0.007947921	5.58
2019	0.007964685	-2.94
9848	0.008029961	-7.63
80117	0.00803729	7.57
196415	0.00808946	-1.33
3708	0.008109952	-3.78
284836	0.00813734	3.55
7476	0.008153802	5.80
81031	0.008299087	-11.61
4837	0.008317374	-10.09
163087	0.008340508	1.96
3752	0.008427275	1.27
26471	0.008473655	-19.17
4851	0.008497096	3.75
9966	0.008500982	3.18
163081	0.00850611	4.78
55745	0.008573901	-2.64
54970	0.008625886	-1.93
65267	0.0086678	1.56
1466	0.008675964	3.49
91746	0.00867983	-1.37
64417	0.008704428	2.33
100289373	0.008752133	3.62
84750	0.008833896	1.83
