Name	ConceptType	#Genes	Coeff	OddsRatio	P-Value	FDR	Direction	SigGenes
hsa-miR-425-5p	miRBase	503	-0.16395386320898583	0.3609885617457088	3.431787945772879E-4	0.201445952416868	down	515,  680,  3851,  4224,  4319,  5774,  6568,  10335,  29844,  55286,  56287,  60313,  63928,  90634,  388646
Alpha-D-Mannose	Drug Bank	42	0.3201011069324448	7.3104361107560205	5.506299652994287E-4	0.044601027189253725	up	715,  1081,  1116,  1803,  2205,  2243,  2811,  3053,  130749
mmu-miR-695	miRBase	484	0.11308812541545807	2.019395844996299	0.0023216728599720665	0.31368362255360666	up	56,  790,  866,  963,  972,  1293,  1583,  1588,  2173,  2829,  2845,  2876,  3043,  3195,  3346,  3713,  3906,  4752,  5333,  5436,  5968,  6568,  6670,  7047,  7388,  9270,  9968,  9971,  10876,  11093,  23373,  23539,  23581,  24137,  25789,  25790,  27237,  29072,  51442,  51666,  55425,  55867,  55998,  57094,  60343,  64579,  64943,  80896,  84707,  85417,  89845,  90506,  93611,  112744,  121355,  124923,  140856,  220042,  254778,  286464,  319101,  353145
hsa-miR-487a	miRBase	517	-0.13217333812264193	0.43981306373570866	0.002714580054366057	0.31368362255360666	down	301,  680,  1293,  1297,  3292,  4752,  4843,  6670,  8943,  9079,  9270,  10046,  10407,  10579,  10771,  10876,  23408,  29888,  51430,  51442,  57716,  60343,  79959,  80319,  94134,  122769,  146802
hsa-miR-380-3p	miRBase	457	0.11026710825344613	1.9843013033529462	0.003936880316700458	0.31368362255360666	up	301,  1733,  2036,  2661,  2796,  2845,  3442,  3445,  4908,  5169,  5449,  5876,  5897,  8777,  8914,  9897,  9971,  10283,  23562,  23582,  29072,  51504,  51561,  51666,  55796,  79020,  80201,  84071,  84693,  84707,  84795,  90523,  114836,  117608,  123879,  136541,  148581,  199974,  221662,  319101
hsa-miR-190	miRBase	455	0.1095510959671598	1.975491302523284	0.004280144870500062	0.31368362255360666	up	915,  1109,  1301,  1974,  2191,  2352,  2694,  2796,  2845,  3164,  3428,  3439,  3442,  3447,  3567,  4115,  4312,  4973,  5449,  5876,  6354,  6894,  7103,  8942,  9068,  9452,  9710,  9897,  9971,  10216,  10876,  23562,  23626,  25788,  51004,  54726,  55796,  57094,  81285,  84693,  84795,  89869,  130752,  140880,  148581,  163778,  196472,  222826
hsa-miR-487b	miRBase	528	-0.12194293877453483	0.468683501675349	0.004843039305163287	0.31368362255360666	down	301,  332,  1081,  1297,  1716,  3292,  3713,  3990,  4752,  4843,  6094,  6670,  8634,  8943,  9079,  9270,  10147,  10407,  10507,  10771,  23305,  23408,  26133,  51548,  55601,  64425,  79084,  79959,  122769,  149095
hsa-miR-422a	miRBase	535	0.10074895758820265	1.8703307515915324	0.004880257693804193	0.31368362255360666	up	301,  710,  727,  735,  952,  1118,  1301,  2191,  2252,  3043,  3884,  3990,  4656,  4815,  5148,  5169,  5436,  5876,  5925,  6361,  6582,  7388,  8431,  8722,  8747,  9427,  9581,  9622,  9896,  10394,  10469,  10599,  10738,  23539,  23562,  24137,  25789,  26515,  55286,  56654,  63827,  79739,  79948,  84648,  84693,  84936,  114132,  134864,  140881,  146802,  256472,  353132,  388646,  407977
hsa-miR-196b	miRBase	651	0.09216749002725018	1.773198237521349	0.0050667421755550765	0.31368362255360666	up	301,  339,  417,  710,  1232,  1414,  1420,  1486,  1580,  1803,  2853,  2984,  3176,  3346,  3445,  3694,  3851,  4115,  4752,  5001,  5449,  5475,  5959,  6041,  6165,  6361,  6403,  7141,  7270,  9134,  9153,  9635,  9968,  10362,  10565,  10738,  10876,  23305,  23539,  29072,  51548,  51666,  51705,  55601,  55897,  56986,  57047,  79949,  81501,  83715,  84707,  84765,  84916,  85438,  121355,  128346,  130120,  135927,  140881,  146779,  253982,  280658,  349236
hsa-miR-612	miRBase	480	-0.1272634286565012	0.4534399946122959	0.005188230337929279	0.31368362255360666	down	1198,  1415,  1436,  1473,  3884,  3906,  4007,  5148,  5333,  5365,  8326,  9283,  9409,  9427,  10223,  10626,  25790,  26037,  27134,  51004,  63827,  64175,  79005,  84310,  90506,  246329,  256472,  284366,  338323
